role,URL,module,action,expected result,actual result,evidence
"Fleet Manager","http://127.0.0.1:18080/index.php?module=VEMSAssignmentCrew&view=Import","VEMSAssignmentCrew","Navigate directly to Import (re-capture)","Denied","PASS: ""Permission denied"" (replaces the image removed for showing an unrelated window)","screenshots/final-2026-09-25/fleet-manager_03_VEMSAssignmentCrew_import_denied.png"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=VEMSPersonnel&view=Import","VEMSPersonnel","Navigate directly to Import (re-capture)","Denied","PASS: ""Permission denied"" (replaces the image removed for showing an unrelated window)","screenshots/final-2026-09-25/fleet-manager_04_VEMSPersonnel_import_denied.png"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=VEMSStockItems&view=Import","VEMSStockItems","Navigate directly to Import (re-capture)","Denied","PASS: ""Permission denied"" (replaces the image removed for showing an unrelated window)","screenshots/final-2026-09-25/fleet-manager_05_VEMSStockItems_import_denied.png"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=VEMSVehicles&view=Import","VEMSVehicles","Navigate directly to Import (re-capture)","Denied","PASS: ""Permission denied"" (replaces the image removed for showing an unrelated window)","screenshots/final-2026-09-25/fleet-manager_06_VEMSVehicles_import_denied.png"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=VEMSVehicleStock&view=Import","VEMSVehicleStock","Navigate directly to Import (re-capture)","Denied","PASS: ""Permission denied"" (replaces the image removed for showing an unrelated window)","screenshots/final-2026-09-25/fleet-manager_07_VEMSVehicleStock_import_denied.png"
"Stock Manager","click the Vehicle Stock tab on stock item 28 (relationId=183)","VEMSStockItems -> VEMSVehicleStock","Click the related tab","Lists the item's stock lines","PASS: shows vems:vehicle-stock:AMB-150:ITEM-150, badge 1","screenshots/final-2026-09-25/stock-manager_02_stock_item_vehicle_stock_related_list.png"
"Stock Manager","http://127.0.0.1:18080/index.php?module=VEMSStockUsage&view=Import","VEMSStockUsage","Navigate directly to Import","Denied","PASS: ""Permission denied""","screenshots/final-2026-09-25/stock-manager_03_VEMSStockUsage_import_denied.png"
"Stock Manager","http://127.0.0.1:18080/index.php?module=VEMSVehicleStock&view=Detail&record=29","VEMSVehicleStock","Open Detail; count reference links and warnings (in-browser page check)","Two linked references, no PHP warning","PASS by page check (links to VEMSVehicles 27 and VEMSStockItems 28, no warning); the screenshot was removed because it also showed the desktop","(no image)"
"Supervisor","http://127.0.0.1:18080/index.php?module=HelpDesk&view=Detail&record=30","HelpDesk","Open incident Detail (was 3 PHP warnings for read-only roles)","No PHP warning; Assignments tab offered","PASS: no warning, Assignments tab present","screenshots/final-2026-09-25/supervisor_02_HelpDesk_incident_detail_no_warnings.png"
"Supervisor","http://127.0.0.1:18080/index.php?module=HelpDesk&view=Import","HelpDesk","Navigate directly to Import","Denied","PASS: ""Permission denied""","screenshots/final-2026-09-25/supervisor_03_HelpDesk_import_denied.png"
"Supervisor","http://127.0.0.1:18080/index.php?module=VEMSVehicles&view=Detail&record=27","VEMSVehicles","Open Detail; list related tabs and warnings (in-browser page check)","Assignments and Vehicle Stock tabs; no warning","PASS by page check (tabs Summary, Details, Assignments, Vehicle Stock; no warning); the screenshot was removed because it also showed the desktop","(no image)"
"Integration user","http://127.0.0.1:18080/index.php?module=VEMSVehicles&view=Edit&record=4","VEMSVehicles","Real edit form: set Operational Status from Available to ""Out of Service""","Edit form offered (only role with one)","PASS: form opens; Operational Status typed as ""Out of Service""","screenshots/final-2026-09-25/integration_01_edit_form_status_changed_before_save.png"
"Integration user","http://127.0.0.1:18080/index.php?module=VEMSVehicles&view=Edit&record=4","VEMSVehicles","Click Save","Denied by the #148 mirror guard","DENIED: {""success"":false,""error"":{""code"":""V-EMS mirrored fields require the authenticated mirror write operation""}} (raw JSON page)","screenshots/final-2026-09-25/integration_02_save_result_denied.png"
"Integration user","http://127.0.0.1:18080/index.php?module=VEMSVehicles&view=Detail&record=4","VEMSVehicles","Reload the record after the denied save","Status unchanged in Vtiger; canonical V-EMS unchanged","PASS: Vtiger shows Available. Before (16:44:23Z): canonical Available, mirror Available. After (16:45:11Z): canonical Available, mirror Available. No divergence","screenshots/final-2026-09-25/integration_03_vehicle_detail_after_denied_save.png; ui-write-before-final.json; ui-write-after-final.json"
"Integration user","http://127.0.0.1:18080/index.php?module=VEMSAssignments&view=Import","VEMSAssignments","Navigate directly to Import","Denied","PASS: ""Permission denied""","screenshots/final-2026-09-25/integration_04_VEMSAssignments_import_denied.png"
