role,URL,module,action,expected result,actual result,evidence
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSPersonnel&view=Detail&record=3","VEMSPersonnel","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","12 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","screenshots/dispatcher_VEMSPersonnel_detail.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSPersonnel&view=Import","VEMSPersonnel","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/dispatcher_VEMSPersonnel_import-denied.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSAssignmentCrew&view=List","VEMSAssignmentCrew","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 1 row(s) but row cells and column headers are BLANK","screenshots/dispatcher_VEMSAssignmentCrew_list.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSAssignmentCrew&view=Detail&record=9","VEMSAssignmentCrew","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","12 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","screenshots/dispatcher_VEMSAssignmentCrew_detail.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSAssignmentCrew&view=Import","VEMSAssignmentCrew","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/dispatcher_VEMSAssignmentCrew_import-denied.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSStockItems&view=List","VEMSStockItems","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 1 row(s) but row cells and column headers are BLANK","screenshots/dispatcher_VEMSStockItems_list.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSStockItems&view=Detail&record=5","VEMSStockItems","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","14 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","screenshots/dispatcher_VEMSStockItems_detail.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSStockItems&view=Import","VEMSStockItems","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/dispatcher_VEMSStockItems_import-denied.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSVehicleStock&view=List","VEMSVehicleStock","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 1 row(s) but row cells and column headers are BLANK","screenshots/dispatcher_VEMSVehicleStock_list.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSVehicleStock&view=Detail&record=6","VEMSVehicleStock","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","16 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","screenshots/dispatcher_VEMSVehicleStock_detail.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSVehicleStock&view=Import","VEMSVehicleStock","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/dispatcher_VEMSVehicleStock_import-denied.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSStockUsage&view=List","VEMSStockUsage","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 1 row(s) but row cells and column headers are BLANK","screenshots/dispatcher_VEMSStockUsage_list.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSStockUsage&view=Detail&record=14","VEMSStockUsage","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","14 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","screenshots/dispatcher_VEMSStockUsage_detail.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSStockUsage&view=Import","VEMSStockUsage","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/dispatcher_VEMSStockUsage_import-denied.png"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=HelpDesk&view=List","HelpDesk","Open List view","List opens with real rows and readable columns","PASS list opens, 1 row, columns populated","screenshots/fleet-manager_HelpDesk_list.png"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=HelpDesk&view=Detail&record=7","HelpDesk","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","9 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 3 PHP warnings rendered (DETAILVIEWBASIC, DOCUMENT_WIDGET_MODEL, property ""value"" on null) (FAIL)","(page-text/data capture only; no image file)"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=HelpDesk&view=Import","HelpDesk","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/fleet-manager_HelpDesk_import-denied.png"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=VEMSAssignments&view=List","VEMSAssignments","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 1 row(s) but row cells and column headers are BLANK","(page-text/data capture only; no image file)"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=VEMSAssignments&view=Detail&record=8","VEMSAssignments","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","16 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","(page-text/data capture only; no image file)"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=VEMSAssignments&view=Import","VEMSAssignments","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/fleet-manager_VEMSAssignments_import-denied.png"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=VEMSVehicles&view=List","VEMSVehicles","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 10 row(s) but row cells and column headers are BLANK","(page-text/data capture only; no image file)"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=VEMSVehicles&view=Detail&record=4","VEMSVehicles","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","12 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","screenshots/fleet-manager_VEMSVehicles_detail.png"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=VEMSVehicles&view=Import","VEMSVehicles","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/fleet-manager_VEMSVehicles_import-denied.png"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=VEMSPersonnel&view=List","VEMSPersonnel","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 2 row(s) but row cells and column headers are BLANK","(page-text/data capture only; no image file)"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=VEMSPersonnel&view=Detail&record=3","VEMSPersonnel","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","12 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","(page-text/data capture only; no image file)"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=VEMSPersonnel&view=Import","VEMSPersonnel","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/fleet-manager_VEMSPersonnel_import-denied.png"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=VEMSAssignmentCrew&view=List","VEMSAssignmentCrew","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 1 row(s) but row cells and column headers are BLANK","(page-text/data capture only; no image file)"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=VEMSAssignmentCrew&view=Detail&record=9","VEMSAssignmentCrew","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","12 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","(page-text/data capture only; no image file)"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=VEMSAssignmentCrew&view=Import","VEMSAssignmentCrew","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/fleet-manager_VEMSAssignmentCrew_import-denied.png"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=VEMSStockItems&view=List","VEMSStockItems","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 1 row(s) but row cells and column headers are BLANK","(page-text/data capture only; no image file)"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=VEMSStockItems&view=Detail&record=5","VEMSStockItems","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","14 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","(page-text/data capture only; no image file)"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=VEMSStockItems&view=Import","VEMSStockItems","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/fleet-manager_VEMSStockItems_import-denied.png"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=VEMSVehicleStock&view=List","VEMSVehicleStock","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 1 row(s) but row cells and column headers are BLANK","(page-text/data capture only; no image file)"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=VEMSVehicleStock&view=Detail&record=6","VEMSVehicleStock","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","16 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","(page-text/data capture only; no image file)"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=VEMSVehicleStock&view=Import","VEMSVehicleStock","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/fleet-manager_VEMSVehicleStock_import-denied.png"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=VEMSStockUsage&view=List","VEMSStockUsage","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 1 row(s) but row cells and column headers are BLANK","(page-text/data capture only; no image file)"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=VEMSStockUsage&view=Detail&record=14","VEMSStockUsage","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","14 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","(page-text/data capture only; no image file)"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=VEMSStockUsage&view=Import","VEMSStockUsage","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/fleet-manager_VEMSStockUsage_import-denied.png"
"Stock Manager","http://127.0.0.1:18080/index.php?module=HelpDesk&view=List","HelpDesk","Open List view","List opens with real rows and readable columns","PASS list opens, 1 row, columns populated","screenshots/stock-manager_HelpDesk_list.png"
"Stock Manager","http://127.0.0.1:18080/index.php?module=HelpDesk&view=Detail&record=7","HelpDesk","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","9 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 3 PHP warnings rendered (DETAILVIEWBASIC, DOCUMENT_WIDGET_MODEL, property ""value"" on null) (FAIL)","(page-text/data capture only; no image file)"
"Stock Manager","http://127.0.0.1:18080/index.php?module=HelpDesk&view=Import","HelpDesk","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/stock-manager_HelpDesk_import-denied.png"
"Stock Manager","http://127.0.0.1:18080/index.php?module=VEMSAssignments&view=List","VEMSAssignments","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 1 row(s) but row cells and column headers are BLANK","(page-text/data capture only; no image file)"
"Stock Manager","http://127.0.0.1:18080/index.php?module=VEMSAssignments&view=Detail&record=8","VEMSAssignments","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","16 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","(page-text/data capture only; no image file)"
"Stock Manager","http://127.0.0.1:18080/index.php?module=VEMSAssignments&view=Import","VEMSAssignments","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/stock-manager_VEMSAssignments_import-denied.png"
"Stock Manager","http://127.0.0.1:18080/index.php?module=VEMSVehicles&view=List","VEMSVehicles","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 10 row(s) but row cells and column headers are BLANK","(page-text/data capture only; no image file)"
"Stock Manager","http://127.0.0.1:18080/index.php?module=VEMSVehicles&view=Detail&record=4","VEMSVehicles","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","12 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","(page-text/data capture only; no image file)"
"Stock Manager","http://127.0.0.1:18080/index.php?module=VEMSVehicles&view=Import","VEMSVehicles","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/stock-manager_VEMSVehicles_import-denied.png"
"Stock Manager","http://127.0.0.1:18080/index.php?module=VEMSPersonnel&view=List","VEMSPersonnel","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 2 row(s) but row cells and column headers are BLANK","(page-text/data capture only; no image file)"
"Stock Manager","http://127.0.0.1:18080/index.php?module=VEMSPersonnel&view=Detail&record=3","VEMSPersonnel","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","12 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","(page-text/data capture only; no image file)"
"Stock Manager","http://127.0.0.1:18080/index.php?module=VEMSPersonnel&view=Import","VEMSPersonnel","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/stock-manager_VEMSPersonnel_import-denied.png"
"Stock Manager","http://127.0.0.1:18080/index.php?module=VEMSAssignmentCrew&view=List","VEMSAssignmentCrew","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 1 row(s) but row cells and column headers are BLANK","(page-text/data capture only; no image file)"
"Stock Manager","http://127.0.0.1:18080/index.php?module=VEMSAssignmentCrew&view=Detail&record=9","VEMSAssignmentCrew","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","12 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","(page-text/data capture only; no image file)"
"Stock Manager","http://127.0.0.1:18080/index.php?module=VEMSAssignmentCrew&view=Import","VEMSAssignmentCrew","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/stock-manager_VEMSAssignmentCrew_import-denied.png"
"Stock Manager","http://127.0.0.1:18080/index.php?module=VEMSStockItems&view=List","VEMSStockItems","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 1 row(s) but row cells and column headers are BLANK","(page-text/data capture only; no image file)"
"Stock Manager","http://127.0.0.1:18080/index.php?module=VEMSStockItems&view=Detail&record=5","VEMSStockItems","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","14 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","(page-text/data capture only; no image file)"
"Stock Manager","http://127.0.0.1:18080/index.php?module=VEMSStockItems&view=Import","VEMSStockItems","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/stock-manager_VEMSStockItems_import-denied.png"
"Stock Manager","http://127.0.0.1:18080/index.php?module=VEMSVehicleStock&view=List","VEMSVehicleStock","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 1 row(s) but row cells and column headers are BLANK","(page-text/data capture only; no image file)"
"Stock Manager","http://127.0.0.1:18080/index.php?module=VEMSVehicleStock&view=Detail&record=6","VEMSVehicleStock","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","16 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","screenshots/stock-manager_VEMSVehicleStock_detail.png"
"Stock Manager","http://127.0.0.1:18080/index.php?module=VEMSVehicleStock&view=Import","VEMSVehicleStock","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/stock-manager_VEMSVehicleStock_import-denied.png"
"Stock Manager","http://127.0.0.1:18080/index.php?module=VEMSStockUsage&view=List","VEMSStockUsage","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 1 row(s) but row cells and column headers are BLANK","(page-text/data capture only; no image file)"
"Stock Manager","http://127.0.0.1:18080/index.php?module=VEMSStockUsage&view=Detail&record=14","VEMSStockUsage","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","14 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","(page-text/data capture only; no image file)"
"Stock Manager","http://127.0.0.1:18080/index.php?module=VEMSStockUsage&view=Import","VEMSStockUsage","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/stock-manager_VEMSStockUsage_import-denied.png"
"Supervisor","http://127.0.0.1:18080/index.php?module=HelpDesk&view=List","HelpDesk","Open List view","List opens with real rows and readable columns","PASS list opens, 1 row, columns populated","screenshots/supervisor_HelpDesk_list.png"
"Supervisor","http://127.0.0.1:18080/index.php?module=HelpDesk&view=Detail&record=7","HelpDesk","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","9 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 3 PHP warnings rendered (DETAILVIEWBASIC, DOCUMENT_WIDGET_MODEL, property ""value"" on null) (FAIL)","(page-text/data capture only; no image file)"
"Supervisor","http://127.0.0.1:18080/index.php?module=HelpDesk&view=Import","HelpDesk","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/supervisor_HelpDesk_import-denied.png"
"Supervisor","http://127.0.0.1:18080/index.php?module=VEMSAssignments&view=List","VEMSAssignments","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 1 row(s) but row cells and column headers are BLANK","(page-text/data capture only; no image file)"
"Supervisor","http://127.0.0.1:18080/index.php?module=VEMSAssignments&view=Detail&record=8","VEMSAssignments","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","16 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","screenshots/supervisor_VEMSAssignments_detail.png"
"Supervisor","http://127.0.0.1:18080/index.php?module=VEMSAssignments&view=Import","VEMSAssignments","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/supervisor_VEMSAssignments_import-denied.png"
"Supervisor","http://127.0.0.1:18080/index.php?module=VEMSVehicles&view=List","VEMSVehicles","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 10 row(s) but row cells and column headers are BLANK","(page-text/data capture only; no image file)"
"Supervisor","http://127.0.0.1:18080/index.php?module=VEMSVehicles&view=Detail&record=4","VEMSVehicles","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","12 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","(page-text/data capture only; no image file)"
"Supervisor","http://127.0.0.1:18080/index.php?module=VEMSVehicles&view=Import","VEMSVehicles","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/supervisor_VEMSVehicles_import-denied.png"
"Supervisor","http://127.0.0.1:18080/index.php?module=VEMSPersonnel&view=List","VEMSPersonnel","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 2 row(s) but row cells and column headers are BLANK","(page-text/data capture only; no image file)"
"Supervisor","http://127.0.0.1:18080/index.php?module=VEMSPersonnel&view=Detail&record=3","VEMSPersonnel","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","12 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","(page-text/data capture only; no image file)"
"Supervisor","http://127.0.0.1:18080/index.php?module=VEMSPersonnel&view=Import","VEMSPersonnel","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/supervisor_VEMSPersonnel_import-denied.png"
"Supervisor","http://127.0.0.1:18080/index.php?module=VEMSAssignmentCrew&view=List","VEMSAssignmentCrew","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 1 row(s) but row cells and column headers are BLANK","(page-text/data capture only; no image file)"
"Supervisor","http://127.0.0.1:18080/index.php?module=VEMSAssignmentCrew&view=Detail&record=9","VEMSAssignmentCrew","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","12 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","(page-text/data capture only; no image file)"
"Supervisor","http://127.0.0.1:18080/index.php?module=VEMSAssignmentCrew&view=Import","VEMSAssignmentCrew","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/supervisor_VEMSAssignmentCrew_import-denied.png"
"Supervisor","http://127.0.0.1:18080/index.php?module=VEMSStockItems&view=List","VEMSStockItems","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 1 row(s) but row cells and column headers are BLANK","(page-text/data capture only; no image file)"
"Supervisor","http://127.0.0.1:18080/index.php?module=VEMSStockItems&view=Detail&record=5","VEMSStockItems","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","14 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","(page-text/data capture only; no image file)"
"Supervisor","http://127.0.0.1:18080/index.php?module=VEMSStockItems&view=Import","VEMSStockItems","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/supervisor_VEMSStockItems_import-denied.png"
"Supervisor","http://127.0.0.1:18080/index.php?module=VEMSVehicleStock&view=List","VEMSVehicleStock","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 1 row(s) but row cells and column headers are BLANK","(page-text/data capture only; no image file)"
"Supervisor","http://127.0.0.1:18080/index.php?module=VEMSVehicleStock&view=Detail&record=6","VEMSVehicleStock","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","16 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","(page-text/data capture only; no image file)"
"Supervisor","http://127.0.0.1:18080/index.php?module=VEMSVehicleStock&view=Import","VEMSVehicleStock","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/supervisor_VEMSVehicleStock_import-denied.png"
"Supervisor","http://127.0.0.1:18080/index.php?module=VEMSStockUsage&view=List","VEMSStockUsage","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 1 row(s) but row cells and column headers are BLANK","(page-text/data capture only; no image file)"
